wins,loss
13,21
7,11
9,6
38,45
15,27
4,8
4,9
56,63
85,84
26,28
8,9
22,20
2,8
15,14
6,6
11,22
45,48
9,6
19,23
37,43
7,8
5,7
68,77
6,6
4,6
11,10
18,8
6,4
4,6
8,8
29,30
15,14
12,8
5,5
23,32
78,95
11,11
4,9
6,6
14,11
5,5
36,41
15,11
14,21
28,23
61,58
12,11
13,16
36,41
8,2
30,24
3,9
44,35
14,6
7,9
15,13
43,47
27,11
5,9
12,6
7,4
17,21
12,14
11,13
7,10
27,23
11,8
8,13
10,8
30,25
5,5
4,7
25,35
18,13
6,13
19,22
5,5
16,21
67,74
9,3
13,6
22,10
11,3
5,8
7,5
5,15
29,23
26,18
9,6
25,18
25,27
12,25
45,61
19,15
20,23
52,39
98,108
6,6
13,14
3,7
4,9
11,6
10,18
29,10
11,8
5,6
53,60
6,8
22,13
20,24
12,7
9,3
12,13
15,12
8,6
88,104
4,10
40,33
7,9
5,7
17,20
9,10
42,34
13,23
9,15
14,32
17,15
16,26
12,26
23,4
12,25
20,27
19,23
10,4
5,8
3,16
5,5
12,15
6,4
3,9
7,8
5,8
7,4
8,9
27,30
8,9
7,18
38,50
18,24
7,7
9,1
8,3
40,47
8,6
45,63
9,25
5,5
85,81
109,100
6,8
7,7
36,43
5,9
32,41
5,5
5,5
40,42
15,22
6,5
4,13
14,29
8,15
7,7
9,3
7,10
37,33
6,13
11,3
12,9
10,13
12,9
8,4
13,4
8,9
8,4
9,3
8,12
9,14
11,11
18,33
48,51
13,12
14,12
10,9
53,66
13,13
58,69
5,13
52,60
14,16
5,8
9,5
15,21
45,37
94,111
13,18
7,7
15,15
8,21
5,9
8,2
5,7
14,10
13,14
28,23
9,12
6,4
12,10
9,14
7,9
7,6
11,12
5,19
5,7
59,63
6,11
18,22
6,8
20,15
8,2
24,31
28,28
7,8
30,35
11,8
4,18
5,5
7,15
36,25
5,9
43,41
12,12
21,28
32,31
21,23
10,14
37,41
7,8
22,37
8,9
5,6
14,19
16,15
3,8
18,23
6,7
12,13
9,14
71,66
5,23
8,3
14,12
3,7
17,34
22,25
7,7
8,10
22,37
15,20
30,19
14,29
40,38
15,15
5,9
5,5
11,1
15,12
12,15
13,19
6,6
40,35
16,24
14,12
7,3
11,4
19,22
15,16
5,12
12,18
14,13
13,5
15,22
23,11
13,22
14,17
6,8
14,31
33,21
97,115
40,38
19,17
