wins,loss
97,112
21,41
15,17
42,52
35,52
28,33
20,30
8,15
2,12
12,15
2,9
8,17
20,25
63,82
30,44
8,21
14,22
1,9
20,39
2,8
26,39
1,10
4,14
23,27
18,25
9,21
25,22
6,13
2,9
7,19
27,36
17,31
5,15
8,16
27,43
19,23
19,28
55,62
29,49
21,26
17,19
5,12
39,43
4,9
43,38
2,40
7,17
74,95
51,66
5,18
19,32
20,30
24,31
5,10
7,13
29,31
11,19
43,55
14,17
4,10
2,10
24,19
45,47
21,19
44,59
17,26
7,20
31,49
74,80
3,12
36,58
31,45
1,9
1,26
32,46
9,18
9,15
28,28
15,19
10,20
8,24
4,14
11,22
11,14
5,19
2,11
17,27
2,9
5,17
9,25
7,16
1,10
5,12
12,17
0,11
2,12
2,10
5,26
16,37
8,15
4,14
3,10
3,17
14,36
85,95
52,61
27,27
19,29
12,18
5,20
7,21
5,11
7,13
53,96
38,44
74,90
5,23
19,28
11,18
11,16
4,17
2,8
10,18
4,11
30,33
2,11
7,16
42,68
6,19
1,10
26,31
2,9
9,19
10,26
5,12
15,24
7,11
34,46
13,32
7,12
2,9
16,20
5,10
10,24
5,10
12,22
2,8
23,29
2,10
18,19
49,53
65,72
14,26
3,10
69,82
27,39
11,17
4,9
20,31
5,9
24,37
37,45
41,48
14,28
7,14
20,54
17,28
43,47
16,36
1,10
3,9
43,63
6,12
42,50
39,50
24,32
61,80
2,8
17,25
9,13
1,9
34,40
3,8
102,96
155,199
21,27
30,43
0,12
31,38
71,93
2,8
50,53
13,22
6,16
11,23
5,15
1,9
3,9
28,43
2,11
6,12
1,11
12,24
18,38
6,16
47,60
1,10
29,43
44,52
13,35
8,15
25,33
10,17
33,52
30,41
16,26
4,10
3,11
12,21
3,11
102,109
33,36
14,35
7,14
18,31
23,51
2,12
5,20
2,12
2,8
21,33
42,54
70,89
3,10
27,30
32,43
3,11
19,27
4,13
3,8
2,13
3,10
39,43
84,100
9,18
2,10
30,32
6,13
23,62
5,11
6,10
31,56
26,37
6,17
15,16
6,14
9,11
28,33
24,26
59,67
10,15
6,21
3,13
4,10
10,44
1,9
25,38
26,46
11,16
44,42
1,12
7,16
6,9
14,21
6,9
86,102
2,9
3,13
15,16
84,101
35,60
32,37
20,27
38,49
20,35
56,70
29,50
7,10
15,25
22,24
6,23
9,17
2,9
11,17
16,25
26,39
2,11
18,42
8,12
4,13
18,38
3,16
19,28
4,11
67,73
43,57
11,25
12,17
49,52
12,25
20,25
3,13
4,18
53,64
14,18
5,11
2,8
57,69
2,8
34,68
10,14
11,21
11,12
9,13
8,13
21,29
54,66
18,22
39,41
12,19
19,20
2,13
20,52
2,8
33,32
14,22
0,12
28,35
18,27
6,15
12,28
5,12
5,10
7,17
81,96
42,66
1,9
18,23
14,28
2,10
13,18
36,40
8,12
3,14
12,20
6,9
17,24
2,8
46,57
122,150
3,13
19,28
1,10
50,90
8,14
11,20
30,39
2,9
3,7
8,17
2,14
40,41
1,9
49,58
16,20
4,8
8,13
5,9
3,17
31,49
7,13
8,17
1,9
43,47
30,33
